file,path,gender_on_disk,in_resolver,resolver_genders,muscle,location,goal,gender
Soleus_SeatedCalfRaise_Gym_Build_Male_1.mp4,/videos/back-muscles/male/Soleus_SeatedCalfRaise_Gym_Build_Male_1.mp4,male,True,male,Soleus,gym,build,male
Soleus_SeatedCalfRaise_Gym_Build_Male_2.mp4,/videos/back-muscles/male/Soleus_SeatedCalfRaise_Gym_Build_Male_2.mp4,male,True,male,Soleus,gym,build,male
Soleus_SmithMachineCalfRaise_Gym_General_Female_1.mp4,/videos/back-muscles/female/Soleus_SmithMachineCalfRaise_Gym_General_Female_1.mp4,female,True,female,Soleus,gym,general,female
Soleus_SmithMachineCalfRaise_Gym_General_Female_2.mp4,/videos/back-muscles/female/Soleus_SmithMachineCalfRaise_Gym_General_Female_2.mp4,female,True,female,Soleus,gym,general,female
Soleus_SmithMachineCalfRaise_Gym_General_Male_1.mp4,/videos/back-muscles/male/Soleus_SmithMachineCalfRaise_Gym_General_Male_1.mp4,male,True,male,Soleus,gym,general,male
Soleus_SmithMachineCalfRaise_Gym_General_Male_2.mp4,/videos/back-muscles/male/Soleus_SmithMachineCalfRaise_Gym_General_Male_2.mp4,male,True,male,Soleus,gym,general,male
TeresMajor_BodyweightReverseFly_Home_Build_Female_1.mp4,/videos/back-muscles/female/TeresMajor_BodyweightReverseFly_Home_Build_Female_1.mp4,female,True,female,TeresMajor,home,build,female
TeresMajor_BodyweightReverseFly_Home_Build_Female_2.mp4,/videos/back-muscles/female/TeresMajor_BodyweightReverseFly_Home_Build_Female_2.mp4,female,True,female,TeresMajor,home,build,female
TeresMajor_BodyweightReverseFly_Home_Build_Male_1.mp4,/videos/back-muscles/male/TeresMajor_BodyweightReverseFly_Home_Build_Male_1.mp4,male,True,male,TeresMajor,home,build,male
TeresMajor_BodyweightReverseFly_Home_Build_Male_2.mp4,/videos/back-muscles/male/TeresMajor_BodyweightReverseFly_Home_Build_Male_2.mp4,male,True,male,TeresMajor,home,build,male
TeresMajor_LatPulldown_Gym_Build_Female_1.mp4,/videos/back-muscles/female/TeresMajor_LatPulldown_Gym_Build_Female_1.mp4,female,True,female,TeresMajor,gym,build,female
TeresMajor_LatPulldown_Gym_Build_Female_2.mp4,/videos/back-muscles/female/TeresMajor_LatPulldown_Gym_Build_Female_2.mp4,female,True,female,TeresMajor,gym,build,female
TeresMajor_LatPulldown_Gym_Build_Male_1.mp4,/videos/back-muscles/male/TeresMajor_LatPulldown_Gym_Build_Male_1.mp4,male,True,male,TeresMajor,gym,build,male
